label,text
2,tài liệu được bổ sung nhiều và đầy đủ trên modle
2,giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên
2,bài tập đa dạng   cụ thể
2,slide up đầy đủ trước mỗi buổi học
0,nội dung giảng dạy quá nhàm chán   khô khan
0,thầy chép bảng nhiều
2,thầy tận tình hướng dẫn cách làm   giải quyết những thắc mắc của sinh viên
1,rất ổn
2,thầy dạy khás hay   cung cấp nhiều thông tin liên quan đến môn học   đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án
1,hy vọng học kỳ sau có thể học được với cô
0,kết thúc môn rồi mà vẫn không biết mình đang học cái gì
2,trong khi giảng nói nhỏ quá
2,thực hành khó hiểu
2,thầy rất tận tâm nhiệt tình   quan tâm đến sinh viên   giảng bài dễ hiểu   kiến thức sâu rộng am hiểu cao
2,cô dạy với nhiệt huyết của mình   dù như thế nào   cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu
2,cô lên lớp đúng giờ   giảng bài rất dễ hiểu cho sinh viên
2,cô rất nhiệt tình và tận dụng tốt thời gian
2,giảng viên tận tâm   nhiệt huyết trong giảng dạy
2,thầy nhiệt tình   gần gũi
2,giảng viên tận tâm   giảng dễ hiểu   dễ tiếp thu
1,tạo ra sự cạnh tranh trong mỗi buổi thực hành
0,cần nâng cấp hệ thống wifi   vì khi vào phòng thực hành   sinh viên không thể truy cập internet   buộc phải xin phép ra ngoài để làm bài
0,tài liệu không được detail cho lắm
2,thầy dạy không đúng giờ   không hướng dẫn sinh viên thực hành
0,cô dạy buồn ngủ quá
2,nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin
2,thầy tận tình vui tính
1,cô giảng hay cuốn hút và truyền đạt dễ hiuể
2,có hứng thú học
1,ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm
0,giáo viên nghỉ dạy liên tục   cuối học kỳ lại tăng học bù   những tiết học bù đó đã ảnh hưởng đến những đồ án   và trễ deadline
0,giáo viên lúc dạy lúc không   không dạy cũng không thông báo   sinh viên tốn thời gian   công sức   tiền bạc rồi ngồi đợi và đi về
0,cần có một phòng máy tốt hơn   hiện đại hơn
0,giảng viên đánh giá sai điểm và năng lực của học sinh
1,giảng viên thân thiện   quan tâm tới sinh viên
0,môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới   dễ hiểu và giảng giải cụ thể hơn
2,giáo viên nhiệt tình   tâm huyết   khả năng truyền đạt tốt
2,thầy dạy rất tốt và nhiệt tình
2,cô nói hơi nhỏ   nếu lớp ồn sẽ khó nghe
2,bài tập cô đưa ra nhiều   và khó tìm hiểu   với kiến thực hiện tại của sinh viên thì khó có thể tìm hiểu và làm tốt bài tập cô ra
0,bài tập và hoạt động nhóm còn ít
2,cô hướng dẫn thực hành khá đầy đủ
2,được học nhiều kinh nghiệm từ thầy wzjwz
2,kiến thức của thầy rất tốt   bảo đảm giờ lên lớp
0,cải thiện lại cơ sở vật chất máy chiếu trong phòng học
0,dạy không phù hợp với cách học của em
0,lớp học quá đông
0,môn căn bản mà thầy không dạy cho sinh viên kỹ   gây không hiểu   mất căn bản
2,tôi cảm thấy giảng viên dạy rất tốt
0,cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn
2,giáo viên có mời các công ty về trình bày   giúp sinh viên cập nhật kiến thức thực tiễn
0,coi lại thái độ giảng viên thực hành
1,bài giảng của thầy rất nhiệt tình
0,môn học chưa thực tiễn   chưa thu hút sinh viên
0,ít làm bài tập
0,giảng bài kém thu hút   vị trí đứng giảng không hợp lý   ôn tập cuối kỳ còn chưa tập trung vào vấn đề
2,giảng viên nhiệt tình   bài giảng thu hút
2,nhờ thầy và giảng viên lý thuyết   em đã hiểu rõ về môn này rất nhiều
2,cần thêm nhiều tài liệu cho sinh viên
1,bài tập trên lớp
2,tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học
2,thầy nhiệt tình dễ hiểu
0,thực hành và lý thuyết nên dạy song song
2,bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học để học sinh không tốn thời gian đọc đề cũng như có thể suy nghĩ cách giải cùng lúc với việc nghe giảng
0,cập nhật bài tập mới
2,tận tâm   nhiệt tình   quan tâm đến sinh viên
2,phản hồi giải đáp thắc mắc cho sinh viên
0,mong ban thiết bị sớm khắc phục ạ
0,môn này cần làm đề tài để áp dụng lý thuyết vào thực tiễn mà trên lớp chỉ học một đống lý thuyết và hiếm ai nhớ đa số khá buồn ngủ khi lên lớp
0,giảng viên nên đổi mới phương pháp giảng dạy   tránh thô cứng   không hấp dẫn sinh viên
2,thầy rất nhiệt tình với chúng em và điều này làm em rất hài lòng
2,cách giảng dạy của thầy rất hay và có phần dễ hiễu
0,không hướng dẫn đồ án
0,em xin đề nghị nhà trường nên bổ sung tài liệu về môn học và cập nhật nội dung
0,chép bài rất nhiều   lãng phí thời gian nghe giảng
0,em không học thầy wzjwz kỳ này   giáo viên thực hành có  người nên có lẽ da nhầm
2,đề thi môn dài sinh viên làm không đủ thời gian
0,cho làm nhiều bài test
0,theo em thì nên thi phòng máy nào có visual  trở lên
2,thầy cần cho bài tập và hướng dẫn nhiều hơn
0,em thấy thầy chỉ giảng cho có
2,cần xác định rõ mục đích môn học và cho sinh viên đề cương chi tiết môn học trước khi bắt đầu
2,thầy nói chuyện với sinh viên rất tự nhiên   chia sẻ kinh nghiệm thực tế
1,dạy theo sát chương trình
0,cung cấp thêm trang thiết bị phục vụ nhu cầu môn học
0,đề nghị nâng cấp phòng lab khoa mạng
2,thầy giảng hay và tâm huyết   bài giảng có tính thực tiễn cao
2,đi dạy đúng giờ
2,các yêu cầu về đồ án môn học nên đươc đưa ra chính xác trước khi sinh viên bắt đầu thực hiện chia nhóm và làm đồ án
2,dạy dễ hiểu dễ tiếp thu   tập trung vài kiến thức trọng tâm
1,cô khá tận tâm cho học sinh
0,cần cải cách lại nội dung các bài thực hành   một số kiến nội dung trong bài thực hành đã trở nên lỗi thời
0,cho làm nhiều bài tập
0,nghiên cứu khoa học
1,giáo viên dạy rất tận tâm   nhiệt tình
0,chỉ thông báo trên lớp sẽ khó tránh sai sót
0,đề nghị lắp thêm quạt
1,dạy kỹ  ok
0,bài tập cần đa dạng hơn
0,nói rất nhỏ
0,giaos vien làm bài sai bị nhawc thì tự ais
0,không sửa các bài tập thực hành
0,làm bài tập nhiều mặc dù không hiểu lắm
2,thầy dạy dễ hiểu   tiết học dễ hiểu   sôi nổi
2,thầy giảng dạy nhiệt tình   truyền cảm
1,giảng dạy rất chi tiết   dễ hiểu và dễ tiếp thu
2,truyền đạt rất dễ hỉu
0,chỉ cos nói lý thuyết chứ hỏng có chỉ thực hành gì hớt
0,cô chưa có nhiều kênh bài tập cho sinh viên
0,bạn nào khá thì có thể áp dụng công thức vào bài tập cả lớp chưa đến   còn thực sự hiểu môn học thì rất ít người hiểu
0,không thực hành được buổi nào
2,thầy dạy phần lý thuyết hay   nắm bắt được khả năng của sinh viên
1,ví dụ đề tài của em là   các nguyên lý cơ bản   bao gồm  nguyên tắc của bohm
2,giáo viên nhiệt tình   dạy dễ hiểu   tận tình với sinh viên
2,thầy giảng dạy tận tâm nhiệt tình
1,cô dạy rất nhiệt tình và tài liệu của cô rất cụ thể dễ hiểu   cô hướng dẫn rất tận tình
0,mong thầy cố gắng honwn trong các học kỳ sau
1,không ý kiến
0,nên có sự thống nhất giữa các giảng viên bộ môn trong đề cương giảng dạy
0,máy tính cập nhật nhanh hơn
1,vui   hòa đồng   nhiệt tình
2,có giúp đỡ sinh viên học tập nghiên cứu
2,giảng viên tận tâm   nhiệt tình   ham học hỏi
0,tuy nhiên cô nên cân nhắc lại về số lượng yêu cầu đối với sinh viên để sinh viên không bị khớp vì quá nhiều dẫn đến làm qua loa cho có   như vậy thì kết quả lại không tốt
2,thầy tận tâm   nhiệt tình   tạo động lực cho sinh viên
2,thầy giáo tận tình   dạy kỹ   thường đưa ra câu hỏi để xem xét mức độ hiểu biết của sinh viên
0,cần tăng cương trao đổi giữa sinh viên và giáo viên
0,cách truyền đạt của giáo viên chưa có sức hút đối với sinh viên nhiều cho lắm
0,chưa tiếp thu trọn vẹn
2,có nhiều bài tập về nhà cơ bản lẫn nâng cao và giảng viên sửa bài đủ
0,đôi lúc giảng bài hơi nhanh
0,có một số buổi không đi dạy
2,thầy nhiệt tình và dạy dễ hiểu
2,có kiến thức nền tảng này   sinh viên có thể học thêm bất kỳ công nghệ cụ thể nào đó dễ dàng   cũng như tiếp thu thay đổi công nghệ mới nhanh chóng
0,tài liệu hỗ trợ toàn tiếng anh rất khó học
0,chưa nhận được gì từ môn học này
0,giảng viên không hề giảng dạy   chỉ đưa đề cương rồi thôi
2,em xin cảm ơn
2,thầy cần phải cho sinh viên biết được học môn này có tác dụng gì và làm được gì khi học xong
2,đề nghị tăng thời gian thưc hành
1,giáo viện nhiệt tình   tận tâm
0,dạy khó hiểu quá nhanh
2,luôn gần gũi   tham khảo ý kiến sinh viên và thống nhất cũng sinh viên
0,nhà trường nên đưa môn học này vào thời khóa biểu bắt buộc ở học kỳ  của các sinh viên năm nhất nhằm giúp các em nắm biết được mình nên học gì   mình có nên chuyển đổi ngành hay không
0,chúng em đã gặp khó khắn với khổ giấy nhỏ   mô hình thì lớn và phức tạp
0,giảng quá nhiều không đánh vào trọng tâm
2,em không muốn nói gì nhưng mong thầy xem lại cách đánh giá sinh viên để công bằng hơn   cái sinh viên không biết không phải chỉ ở cúp tiết mà còn ở cách giảng dạy   truyền đạt ở giảng viên   ví dụ như cô wzjwz   rất dễ hiểu   tận tâm
2,cô có nhiều hình thức giảng dạy hay
2,hơi khó
0,thầy đi trễ
2,giảng tốt
2,nói mở rộng nhiều vấn đề về môn học
